	enrichment	p	FDR	nonNull	instanceCount	specificity	reliable
TTNPB	0.866885245901639	0.03513	0.37692762295082	1	2	0.0186335403726708	TRUE
tretinoin	0.211222056631893	0.24054	0.764279325153374	0.454545454545455	22	0.676136363636364	FALSE
LY-294002	0.194262295081967	0.01647	0.209694174757282	0.426229508196721	61	0.653333333333333	FALSE
ciclosporin	-0.388251366120219	0.25357	0.764279325153374	0.166666666666667	6	0.366666666666667	FALSE
indometacin	-0.295901639344262	0.4067	0.833530923076923	0.375	8	0.429347826086957	FALSE
clofibrate	-0.382786885245902	0.86002	0.969590196917808	0.5	2	0.761904761904762	FALSE
MK-886	-0.437540983606557	0.72064	0.947106184738956	0	2	0.66	FALSE
prednisolone	0.265573770491803	0.79198	0.956836774193549	0.2	5	0.735099337748344	FALSE
thalidomide	0.214309133489461	0.84118	0.969590196917808	0.428571428571429	7	0.817460317460317	FALSE
genistein	-0.239161041465767	0.24243	0.764279325153374	0.294117647058824	17	0.635714285714286	FALSE
fludrocortisone	-0.407377049180328	0.10395	0.564608091286307	0.5	8	0.464788732394366	FALSE
quercetin	-0.59224043715847	0.01529	0.204230714285714	0.666666666666667	6	0.0317460317460317	TRUE
sulindac sulfide	0.778852459016393	1e-05	0.000246981132075472	1	1	0.398843930635838	FALSE
exisulind	-0.500327868852459	0.49922	0.862506662269129	0	2	0.385057471264368	FALSE
fulvestrant	0.182704918032787	0.12189	0.620832723735409	0.4	40	0.439306358381503	FALSE
monastrol	-0.371803278688525	0.16888	0.673060447761194	0.625	8	0.298013245033113	TRUE
staurosporine	-0.304590163934426	0.75448	0.951822814601345	0.25	4	0.808219178082192	FALSE
NU-1025	0.479672131147541	0.57936	0.891537194412107	0	2	0.53968253968254	FALSE
acetylsalicylic acid	0.254161412358134	0.31458	0.782256435272045	0.461538461538462	13	0.48	FALSE
flufenamic acid	0.294098360655738	0.57804	0.891537194412107	0.166666666666667	6	0.656934306569343	FALSE
N-phenylanthranilic acid	-0.593934426229508	1e-05	0.000246981132075472	0	1	0.708074534161491	FALSE
monorden	0.46806259314456	4e-05	0.00096962962962963	0.727272727272727	22	0.0641711229946524	TRUE
sirolimus	-0.117898658718331	0.53206	0.879376944444444	0.318181818181818	44	0.945205479452055	FALSE
arachidonyltrifluoromethane	-0.54344262295082	0.41718	0.837559233128834	0	2	0.418300653594771	FALSE
trichostatin A	0.430311655557557	0	0	0.0824175824175824	182	0.419047619047619	FALSE
diclofenac	-0.366229508196721	0.41034	0.833530923076923	0.2	5	0.418478260869565	FALSE
mercaptopurine	-0.605901639344262	0.30892	0.782256435272045	0.5	2	0.294520547945205	FALSE
nifedipine	-0.216744730679157	0.83143	0.968194991119005	0.428571428571429	7	0.85625	FALSE
nitrendipine	-0.27655737704918	0.75285	0.951822814601345	0.2	5	0.723926380368098	FALSE
felodipine	-0.474121779859485	0.0577	0.463369938650307	0.714285714285714	7	0.163636363636364	TRUE
azathioprine	0.228009367681499	0.78455	0.953153571428571	0.428571428571429	7	0.763975155279503	FALSE
sodium phenylbutyrate	-0.244754098360656	0.71076	0.946667746478873	0.285714285714286	7	0.790849673202614	FALSE
novobiocin	-0.324171220400729	0.24041	0.764279325153374	0.111111111111111	9	0.296703296703297	FALSE
fasudil	-0.55655737704918	0.39329	0.823589555555556	0	2	0.322033898305085	FALSE
2-deoxy-D-glucose	-0.545081967213115	1e-05	0.000246981132075472	0	1	0.926229508196721	FALSE
imatinib	0.587377049180328	0.33964	0.786877530864198	0	2	0.444444444444444	FALSE
pirinixic acid	0.275737704918033	0.75512	0.951822814601345	0.4	5	0.746153846153846	FALSE
rosiglitazone	-0.243325526932084	0.32044	0.782699275092937	0.142857142857143	14	0.509316770186335	FALSE
troglitazone	-0.229754098360656	0.31558	0.782256435272045	0.25	16	0.444444444444444	FALSE
cobalt chloride	0.568306010928962	0.19234	0.699900303030303	0.666666666666667	3	0.156756756756757	TRUE
wortmannin	0.107431693989071	0.97107	0.991630969743987	0.333333333333333	18	1	FALSE
tetraethylenepentamine	0.305901639344262	0.52821	0.879376944444444	0.5	6	0.525547445255474	FALSE
clozapine	-0.134686595949855	0.87745	0.971422713567839	0.352941176470588	17	0.913669064748201	FALSE
thioridazine	-0.184098360655738	0.4529	0.847822129760226	0.35	20	0.817204301075269	FALSE
haloperidol	0.185389344262295	0.19353	0.699900303030303	0.34375	32	0.518134715025907	FALSE
chlorpromazine	0.345228645383952	0.0164	0.209694174757282	0.578947368421053	19	0.0774193548387097	TRUE
trifluoperazine	-0.264180327868852	0.17816	0.681904795321638	0.4375	16	0.557692307692308	FALSE
iloprost	0.749672131147541	0.03122	0.34342	1	3	0.118421052631579	TRUE
copper sulfate	0.494590163934426	0.19564	0.703551538461539	0.75	4	0.244318181818182	TRUE
oxamic acid	-0.801639344262295	1e-05	0.000246981132075472	1	1	0.360759493670886	FALSE
W-13	-0.768032786885246	0.10763	0.575799714285714	1	2	0.113333333333333	TRUE
arachidonic acid	0.452131147540984	0.45165	0.847822129760226	0.333333333333333	3	0.525641025641026	FALSE
oligomycin	0.545737704918033	1e-05	0.000246981132075472	0	1	0.89937106918239	FALSE
prochlorperazine	-0.177049180327869	0.63306	0.912021666666667	0.375	16	0.80188679245283	FALSE
quinpirole	-0.541147540983607	0.12822	0.628465985130111	0.5	4	0.259259259259259	FALSE
deferoxamine	0.185245901639344	0.90211	0.97634794892916	0.375	8	0.953020134228188	FALSE
calmidazolium	-0.472459016393443	0.60584	0.900152698412698	0.5	2	0.655737704918033	FALSE
fluphenazine	-0.187285974499089	0.49322	0.86198261682243	0.333333333333333	18	0.686440677966102	FALSE
dopamine	-0.733770491803279	1e-05	0.000246981132075472	1	1	0.509316770186335	FALSE
gefitinib	-0.970819672131148	1e-05	0.000246981132075472	1	1	0.0657894736842105	FALSE
"1,5-isoquinolinediol"	-0.642131147540984	1e-05	0.000246981132075472	0	1	0.76	FALSE
"4,5-dianilinophthalimide"	-0.722295081967213	0.15322	0.669620462046205	0.5	2	0.238095238095238	FALSE
fisetin	0.769016393442623	1e-05	0.000246981132075472	1	1	0.53781512605042	FALSE
butein	-0.740655737704918	0.13463	0.638172688172043	1	2	0.0985915492957746	TRUE
HNMPA-(AM)3	-0.551803278688525	1e-05	0.000246981132075472	0	1	0.857142857142857	FALSE
dimethyloxalylglycine	0.863770491803279	1e-05	0.000246981132075472	1	1	0.314720812182741	FALSE
3-aminobenzamide	-0.522295081967213	1e-05	0.000246981132075472	0	1	0.9375	FALSE
bucladesine	0.329180327868852	0.43623	0.840385666178624	0.5	6	0.417910447761194	FALSE
probucol	0.355846994535519	0.34623	0.793721663747811	0.5	6	0.173333333333333	FALSE
geldanamycin	0.649016393442623	0	0	0.8	15	0.0491803278688525	TRUE
resveratrol	-0.217322404371585	0.71303	0.946667746478873	0.333333333333333	9	0.916666666666667	FALSE
5666823	0.960163934426229	1e-05	0.000246981132075472	1	1	0.0426829268292683	FALSE
nocodazole	-0.78672131147541	0.00024	0.00551157894736842	1	6	0	TRUE
colchicine	-0.440273224043716	0.14064	0.645957052631579	0.666666666666667	6	0.211267605633803	TRUE
benserazide	-0.343934426229508	0.49108	0.86198261682243	0.2	5	0.448648648648649	FALSE
pentamidine	-0.285737704918033	0.71847	0.946667746478873	0.4	5	0.762430939226519	FALSE
paclitaxel	-0.251475409836066	0.76252	0.953153571428571	0.333333333333333	6	0.808510638297872	FALSE
tioguanine	0.554426229508197	1e-05	0.000246981132075472	0	1	0.843023255813954	FALSE
splitomicin	0.602950819672131	1e-05	0.000246981132075472	0	1	0.832167832167832	FALSE
U0125	0.8	1e-05	0.000246981132075472	1	1	0.418604651162791	FALSE
docosahexaenoic acid ethyl ester	0.702786885245902	0.17599	0.6775615	0.5	2	0.201030927835052	FALSE
butirosin	0.395409836065574	0.45186	0.847822129760226	0.5	4	0.27972027972028	FALSE
colforsin	-0.360327868852459	0.43206	0.839546765578635	0.4	5	0.451327433628319	FALSE
rottlerin	0.422786885245902	0.52984	0.879376944444444	0.333333333333333	3	0.829015544041451	FALSE
prazosin	-0.210819672131147	0.90549	0.97634794892916	0.333333333333333	6	0.872611464968153	FALSE
5252917	0.719180327868852	0.15691	0.673060447761194	0.5	2	0.251700680272109	FALSE
Y-27632	0.647377049180328	0.2474	0.764279325153374	0.5	2	0.27906976744186	FALSE
5255229	-0.329508196721311	0.94975	0.985121038034865	0	2	0.894308943089431	FALSE
5211181	0.489344262295082	0.54233	0.883233097014925	0.5	2	0.474576271186441	FALSE
carbamazepine	0.250327868852459	0.61195	0.903091939120631	0.375	8	0.537414965986395	FALSE
blebbistatin	0.425573770491803	0.7564	0.951822814601345	0.5	2	0.872727272727273	FALSE
5248896	0.558032786885246	0.39064	0.822102508038585	0.5	2	0.51875	FALSE
5224221	0.385409836065574	0.85432	0.969590196917808	0.5	2	0.927374301675978	FALSE
5279552	0.640983606557377	0.25643	0.764279325153374	0.5	2	0.25	FALSE
5253409	-0.925409836065574	0.01108	0.170632	1	2	0	TRUE
5230742	-0.495737704918033	0.51662	0.870341801801802	0.5	2	0.644808743169399	FALSE
oxaprozin	0.373934426229508	0.29193	0.771992666666667	0.5	6	0.355029585798817	FALSE
quinostatin	-0.44	0.71261	0.946667746478873	0.5	2	0.893129770992366	FALSE
ikarugamycin	-0.674426229508197	0.06838	0.487789015544041	0.333333333333333	3	0.128787878787879	FALSE
5182598	-0.605245901639344	0.31004	0.782256435272045	0	2	0.60377358490566	FALSE
pyrvinium	-0.320327868852459	0.46954	0.848933508287293	0.5	6	0.690721649484536	FALSE
ionomycin	-0.58344262295082	0.16737	0.673060447761194	0.333333333333333	3	0.278688524590164	FALSE
depudecin	-0.796065573770492	0.08321	0.518675666666667	1	2	0.0921052631578947	TRUE
5186223	0.804262295081967	1e-05	0.000246981132075472	1	1	0.370786516853933	FALSE
celastrol	0.607213114754098	1e-05	0.000246981132075472	0	1	0.82089552238806	FALSE
5286656	-0.935737704918033	1e-05	0.000246981132075472	1	1	0.112359550561798	FALSE
5149715	-0.846229508196721	1e-05	0.000246981132075472	1	1	0.449664429530201	FALSE
5162773	0.967540983606557	1e-05	0.000246981132075472	1	1	0.0946745562130177	FALSE
pararosaniline	0.586229508196721	1e-05	0.000246981132075472	0	1	0.87292817679558	FALSE
5152487	0.565901639344262	1e-05	0.000246981132075472	0	1	0.885350318471338	FALSE
5213008	0.948032786885246	1e-05	0.000246981132075472	1	1	0.112	FALSE
5186324	-0.587540983606557	1e-05	0.000246981132075472	0	1	0.911290322580645	FALSE
5114445	0.850327868852459	1e-05	0.000246981132075472	1	1	0.375	FALSE
5151277	0.513114754098361	1e-05	0.000246981132075472	0	1	0.963541666666667	FALSE
5109870	-0.521311475409836	1e-05	0.000246981132075472	0	1	1	FALSE
clotrimazole	-0.342622950819672	0.49582	0.862506662269129	0.6	5	0.541353383458647	TRUE
5140203	-0.625901639344262	1e-05	0.000246981132075472	0	1	0.798561151079137	FALSE
HC toxin	0.700819672131147	1e-05	0.000246981132075472	0	1	0.654867256637168	FALSE
topiramate	-0.864590163934426	1e-05	0.000246981132075472	1	1	0.439490445859873	FALSE
decitabine	-0.732131147540984	1e-05	0.000246981132075472	0	1	0.632	FALSE
alvespimycin	0.580218579234973	0.00022	0.0051425	0.833333333333333	12	0.0344827586206897	TRUE
vorinostat	0.369016393442623	0.05601	0.457418260869565	0.166666666666667	12	0.728643216080402	FALSE
(-)-catechin	0.759672131147541	1e-05	0.000246981132075472	1	1	0.474358974358974	FALSE
demecolcine	0.602459016393443	1e-05	0.000246981132075472	0	1	0.816666666666667	FALSE
monensin	-0.149016393442623	0.99585	0.997944743687835	0.333333333333333	6	1	FALSE
"12,13-EODE"	0.896229508196721	1e-05	0.000246981132075472	1	1	0.233128834355828	FALSE
3-hydroxy-DL-kynurenine	0.278524590163934	0.64677	0.914278542116631	0.5	6	0.526315789473684	FALSE
doxycycline	-0.219836065573771	0.92261	0.978361003236246	0.4	5	0.92090395480226	FALSE
tyrphostin AG-825	-0.671147540983607	1e-05	0.000246981132075472	0	1	0.706766917293233	FALSE
phenanthridinone	-0.529016393442623	1e-05	0.000246981132075472	0	1	0.963541666666667	FALSE
yohimbine	0.375409836065574	0.37988	0.819463510466989	0.4	5	0.244094488188976	FALSE
DL-PPMP	0.639672131147541	1e-05	0.000246981132075472	0	1	0.816216216216216	FALSE
cytochalasin B	0.936065573770492	1e-05	0.000246981132075472	1	1	0.151658767772512	FALSE
BW-B70C	0.52655737704918	1e-05	0.000246981132075472	0	1	0.980952380952381	FALSE
minocycline	0.37327868852459	0.38688	0.819463510466989	0.2	5	0.290322580645161	FALSE
phentolamine	-0.466885245901639	0.06412	0.486178870056497	0.428571428571429	7	0.0305343511450382	FALSE
MG-132	0.885081967213115	1e-05	0.000246981132075472	1	1	0.457317073170732	FALSE
tyrphostin AG-1478	-0.922950819672131	1e-05	0.000246981132075472	1	1	0.177304964539007	FALSE
procainamide	0.336229508196721	0.65006	0.914976924731183	0.5	4	0.647058823529412	FALSE
thioguanosine	-0.627868852459016	0.04699	0.418434761904762	0.5	4	0.21830985915493	FALSE
amoxicillin	-0.400327868852459	0.43576	0.840385666178624	0.25	4	0.633333333333333	FALSE
benfluorex	-0.203606557377049	0.98566	0.994013050847458	0.25	4	0.99290780141844	FALSE
naftidrofuryl	-0.523114754098361	0.15255	0.669620462046205	0.75	4	0.0718954248366013	TRUE
pentoxyverine	-0.455081967213115	0.27949	0.764279325153374	0.5	4	0.553299492385787	FALSE
clomifene	0.319672131147541	0.70542	0.942079694189602	0.25	4	0.793103448275862	FALSE
zoxazolamine	-0.596393442622951	0.06997	0.487789015544041	0.75	4	0.186868686868687	TRUE
N6-methyladenosine	-0.312295081967213	0.72969	0.947949287128713	0.25	4	0.772413793103448	FALSE
chlorprothixene	-0.268196721311475	0.86096	0.969590196917808	0.25	4	0.846938775510204	FALSE
cefalexin	-0.418032786885246	0.26213	0.764279325153374	0.6	5	0.650793650793651	TRUE
bepridil	-0.258852459016393	0.88449	0.971422713567839	0.25	4	0.931818181818182	FALSE
bezafibrate	0.282622950819672	0.82138	0.966894262589928	0.25	4	0.845454545454545	FALSE
dequalinium chloride	0.26655737704918	0.86515	0.969590196917808	0.25	4	0.876811594202899	FALSE
oxantel	-0.359344262295082	0.57225	0.891537194412107	0.25	4	0.568862275449102	FALSE
tacrine	0.489016393442623	0.2061	0.72275	0.5	4	0.132075471698113	FALSE
guanfacine	-0.381967213114754	0.35892	0.803761740614334	0.6	5	0.50828729281768	TRUE
ritodrine	0.469344262295082	0.24651	0.764279325153374	0.25	4	0.179640718562874	FALSE
dextromethorphan	-0.630655737704918	0.04529	0.414577692307692	0.5	4	0.106598984771574	FALSE
buspirone	-0.234262295081967	0.94436	0.983433	0.25	4	0.908536585365854	FALSE
ketoconazole	0.333114754098361	0.6602	0.921806443024494	0.25	4	0.635761589403974	FALSE
bisoprolol	0.205737704918033	0.98417	0.994013050847458	0.25	4	0.984732824427481	FALSE
flupentixol	-0.521147540983607	0.155	0.669620462046205	0.75	4	0.256	TRUE
droperidol	0.546229508196721	0.12189	0.620832723735409	0.75	4	0.0681818181818182	TRUE
benzbromarone	-0.437377049180328	0.49053	0.86198261682243	0	3	0.584905660377358	FALSE
clebopride	-0.847540983606557	0.00101	0.0209855555555556	1	4	0	TRUE
fusidic acid	-0.310983606557377	0.73375	0.948870393700787	0.25	4	0.685534591194969	FALSE
hesperidin	0.447540983606557	0.29907	0.77675125	0.25	4	0.211678832116788	FALSE
testosterone	-0.233114754098361	0.89105	0.976053933054393	0.4	5	0.909090909090909	FALSE
androsterone	-0.396065573770492	0.44987	0.847822129760226	0	4	0.301282051282051	FALSE
suloctidil	-0.425081967213115	0.36067	0.804287955706985	0.5	4	0.461538461538462	FALSE
coralyne	-0.468524590163934	0.24828	0.764279325153374	0.5	4	0.23489932885906	FALSE
domperidone	-0.441639344262295	0.31438	0.782256435272045	0.5	4	0.271317829457364	FALSE
ouabain	-0.732459016393443	0.0101	0.161230487804878	0.75	4	0.0350877192982456	TRUE
arecoline	-0.840491803278689	0.00129	0.02638453125	1	4	0.0123456790123457	TRUE
anisomycin	-0.438196721311475	0.32397	0.783033173431734	0.5	4	0.610169491525424	FALSE
carcinine	0.530327868852459	0.14261	0.652715	0.75	4	0.072	TRUE
corticosterone	0.881639344262295	3e-04	0.00677068965517241	1	4	0	TRUE
fusaric acid	0.230983606557377	0.9513	0.985947505938242	0.25	4	0.937984496124031	FALSE
lactobionic acid	0.458032786885246	0.27246	0.764279325153374	0.5	4	0.162962962962963	FALSE
cefixime	0.315737704918033	0.71886	0.946667746478873	0.25	4	0.586538461538462	FALSE
calcium pantothenate	0.360491803278689	0.56825	0.891537194412107	0.5	4	0.504132231404959	FALSE
levothyroxine sodium	0.417540983606557	0.38311	0.819463510466989	0.5	4	0.333333333333333	FALSE
carbarsone	0.709836065573771	0.01412	0.198742795698925	0.75	4	0.0120481927710843	TRUE
carisoprodol	0.592950819672131	0.07297	0.489834512820513	0.75	4	0.0662251655629139	TRUE
cyanocobalamin	-0.221639344262295	0.96646	0.990678261550509	0.25	4	0.978378378378378	FALSE
SR-95531	0.250491803278688	0.90437	0.97634794892916	0.25	4	0.899328859060403	FALSE
lumicolchicine	0.594262295081967	0.15071	0.666003333333333	0.666666666666667	3	0.0656934306569343	TRUE
metrizamide	0.652295081967213	0.03349	0.362300909090909	0.75	4	0.0821917808219178	TRUE
cefotetan	0.498469945355191	0.33622	0.784816666666667	0.666666666666667	3	0.281045751633987	TRUE
dl-alpha tocopherol	0.394918032786885	0.4532	0.847822129760226	0.25	4	0.263565891472868	FALSE
apigenin	-0.7	0.01647	0.209694174757282	0.25	4	0.108108108108108	FALSE
7-aminocephalosporanic acid	0.533770491803279	0.13798	0.640481631205674	0.5	4	0.0860927152317881	FALSE
cefadroxil	0.273934426229508	0.84528	0.969590196917808	0.5	4	0.875	FALSE
ginkgolide A	-0.404754098360656	0.42173	0.837700409711684	0.5	4	0.73	FALSE
lysergol	0.388852459016393	0.47192	0.851192575757576	0.5	4	0.439490445859873	FALSE
N-acetylmuramic acid	-0.532950819672131	0.1392	0.64386148409894	0.75	4	0.13013698630137	TRUE
piperine	0.450983606557377	0.29008	0.771777886178862	0.5	4	0.188811188811189	FALSE
pepstatin	-0.267540983606557	0.86257	0.969590196917808	0.5	4	0.880952380952381	FALSE
N-acetyl-L-aspartic acid	0.75983606557377	0.0067	0.115398684210526	1	4	0	TRUE
Chicago Sky Blue 6B	0.583934426229508	0.08101	0.517278487804878	0.75	4	0.236363636363636	TRUE
cyclobenzaprine	0.457540983606557	0.27376	0.764279325153374	0.25	4	0.484375	FALSE
mebhydrolin	0.338524590163934	0.64192	0.912021666666667	0.25	4	0.756476683937824	FALSE
myricetin	0.23327868852459	0.94662	0.983433	0.5	4	0.985074626865672	FALSE
brompheniramine	0.444262295081967	0.30724	0.782256435272045	0.5	4	0.276470588235294	FALSE
SR-95639A	0.212131147540984	0.97823	0.99263803875969	0.25	4	0.975757575757576	FALSE
bacampicillin	-0.473114754098361	0.23829	0.764279325153374	0.5	4	0.176470588235294	FALSE
buflomedil	-0.356885245901639	0.5801	0.891537194412107	0.5	4	0.714285714285714	FALSE
digitoxigenin	-0.768196721311475	0.00573	0.101359054054054	1	4	0.0196078431372549	TRUE
carteolol	-0.405573770491803	0.41922	0.837700409711684	0.5	4	0.538461538461538	FALSE
meclocycline	-0.562459016393443	0.1028	0.564608091286307	0.75	4	0.053030303030303	TRUE
naringenin	-0.486393442622951	0.21091	0.732310848806366	0.75	4	0.455284552845528	TRUE
primaquine	-0.472622950819672	0.2392	0.764279325153374	0.5	4	0.211009174311927	FALSE
amantadine	-0.830655737704918	0.00156	0.031416	1	4	0.0130718954248366	TRUE
betulinic acid	-0.641475409836066	0.03895	0.388763157894737	0.5	4	0.135483870967742	FALSE
chlorogenic acid	-0.464098360655738	0.25797	0.764279325153374	0.5	4	0.343511450381679	FALSE
naltrexone	0.460491803278689	0.17202	0.673060447761194	0.4	5	0.358208955223881	FALSE
mefloquine	-0.341639344262295	0.49945	0.862506662269129	0.2	5	0.75	FALSE
astemizole	-0.26344262295082	0.7996	0.95790664845173	0.4	5	0.891089108910891	FALSE
ivermectin	0.361311475409836	0.42763	0.839546765578635	0.2	5	0.741935483870968	FALSE
diazoxide	0.319672131147541	0.58482	0.891537194412107	0.4	5	0.655405405405405	FALSE
disulfiram	0.449180327868852	0.19396	0.699900303030303	0.6	5	0.526011560693642	TRUE
atropine oxide	0.286885245901639	0.71364	0.946667746478873	0.2	5	0.598684210526316	FALSE
chlorphenamine	0.311311475409836	0.73263	0.948578308605341	0.5	4	0.696	FALSE
isoconazole	0.524262295081967	0.08249	0.518675666666667	0.8	5	0.121052631578947	TRUE
clindamycin	-0.235901639344262	0.88416	0.971422713567839	0.4	5	0.919540229885057	FALSE
nicergoline	-0.219344262295082	0.92372	0.978361003236246	0.2	5	0.938931297709924	FALSE
gallamine triethiodide	0.541475409836066	0.06636	0.486962625698324	0.8	5	0.032520325203252	TRUE
aminophenazone	0.298524590163934	0.66813	0.922831221052632	0.4	5	0.647887323943662	FALSE
acetylsalicylsalicylic acid	0.402131147540984	0.42979	0.839546765578635	0.5	4	0.308943089430894	FALSE
nomifensine	0.558360655737705	0.05306	0.446310636942675	0.8	5	0.049079754601227	TRUE
nalbuphine	0.507704918032787	0.10112	0.564608091286307	0.6	5	0.0546875	TRUE
spironolactone	-0.254918032786885	0.82806	0.966955147190009	0.4	5	0.849673202614379	FALSE
terfenadine	0.30224043715847	0.88014	0.971422713567839	0.333333333333333	3	0.960591133004926	FALSE
neomycin	-0.373934426229508	0.38457	0.819463510466989	0.2	5	0.48936170212766	FALSE
mianserin	0.445081967213115	0.20217	0.719098617886179	0.6	5	0.283333333333333	TRUE
dizocilpine	-0.356885245901639	0.44412	0.84620761627907	0.6	5	0.389261744966443	TRUE
picotamide	-0.584426229508197	0.03731	0.381842403100775	0.6	5	0.0558659217877095	TRUE
pirenzepine	0.238852459016393	0.87631	0.971422713567839	0.4	5	0.838926174496644	FALSE
cefotaxime	-0.210819672131147	0.94153	0.983433	0.4	5	0.927272727272727	FALSE
thioproperazine	0.306065573770492	0.63861	0.912021666666667	0.2	5	0.710982658959538	FALSE
dihydrostreptomycin	-0.325901639344262	0.56064	0.891537194412107	0.2	5	0.451807228915663	FALSE
pindolol	0.336393442622951	0.51962	0.874270668380463	0.4	5	0.746987951807229	FALSE
acenocoumarol	0.44	0.21224	0.73304	0.6	5	0.188311688311688	TRUE
triamcinolone	-0.51327868852459	0.09442	0.546883982300885	0.4	5	0.0862068965517241	FALSE
tetracycline	0.539180327868853	0.06821	0.487789015544041	0.8	5	0.143790849673203	TRUE
dihydroergotamine	-0.412459016393443	0.27496	0.764279325153374	0.4	5	0.147540983606557	FALSE
isoniazid	0.334918032786885	0.525	0.878804347826087	0.2	5	0.730263157894737	FALSE
tranexamic acid	0.352786885245902	0.45785	0.847822129760226	0.4	5	0.748466257668712	FALSE
ampyrone	-0.489016393442623	0.12596	0.628465985130111	0.6	5	0.243055555555556	TRUE
midodrine	-0.359672131147541	0.4341	0.840385666178624	0.4	5	0.62406015037594	FALSE
ranitidine	-0.360655737704918	0.43071	0.839546765578635	0.6	5	0.531578947368421	TRUE
piroxicam	0.330491803278689	0.66934	0.922831221052632	0.5	4	0.666666666666667	FALSE
norfloxacin	0.306885245901639	0.63598	0.912021666666667	0.4	5	0.570247933884298	FALSE
etodolac	0.235901639344262	0.88396	0.971422713567839	0.4	5	0.838235294117647	FALSE
pentetrazol	0.325081967213115	0.68755	0.937503072916667	0.25	4	0.654545454545455	FALSE
etofylline	0.34983606557377	0.46953	0.848933508287293	0.6	5	0.442622950819672	TRUE
levamisole	-0.390983606557377	0.46526	0.848933508287293	0.25	4	0.701030927835051	FALSE
tiratricol	-0.378196721311475	0.50644	0.866575111111111	0.5	4	0.549707602339181	FALSE
pyrantel	0.473606557377049	0.14955	0.663596440677966	0.6	5	0.0708661417322835	TRUE
antimycin A	0.309016393442623	0.62688	0.909849224806202	0.4	5	0.842696629213483	FALSE
scopolamine N-oxide	-0.240491803278688	0.87137	0.969917797619048	0.2	5	0.95260663507109	FALSE
chlorzoxazone	-0.393606557377049	0.4572	0.847822129760226	0.25	4	0.75	FALSE
tranylcypromine	0.219180327868852	0.9238	0.978361003236246	0.4	5	0.946428571428571	FALSE
pargyline	-0.264754098360656	0.86944	0.969917797619048	0.25	4	0.940540540540541	FALSE
oxolinic acid	0.580163934426229	0.03946	0.388763157894737	0.8	5	0.032	TRUE
fenspiride	-0.400491803278688	0.30581	0.781342865497076	0.6	5	0.497560975609756	TRUE
xylometazoline	-0.504098360655738	0.17972	0.685870204081633	0.75	4	0.292817679558011	TRUE
hyoscyamine	0.37344262295082	0.38593	0.819463510466989	0.4	5	0.301587301587302	FALSE
ornidazole	-0.241803278688525	0.86783	0.969917797619048	0.2	5	0.93717277486911	FALSE
alverine	-0.250819672131148	0.90355	0.97634794892916	0.5	4	0.861842105263158	FALSE
