	enrichment	p	FDR	nonNull	instanceCount	specificity	reliable
trifluoperazine	-0.266803278688525	0.17025	0.544883251833741	0.3125	16	0.538461538461538	FALSE
iloprost	-0.285573770491803	0.91909	0.974160979757085	0.333333333333333	3	0.93125	FALSE
copper sulfate	-0.406885245901639	0.41543	0.763157938718663	0.25	4	0.419117647058824	FALSE
oxamic acid	0.535573770491803	1e-05	0.00023375	0	1	0.915584415584416	FALSE
W-13	-0.771639344262295	0.10447	0.448877916666667	1	2	0.113333333333333	TRUE
arachidonic acid	0.40568306010929	0.57855	0.853341227477478	0.666666666666667	3	0.666666666666667	TRUE
oligomycin	-0.787213114754098	1e-05	0.00023375	1	1	0.457516339869281	FALSE
prochlorperazine	-0.191188524590164	0.53902	0.836753076923077	0.4375	16	0.773584905660377	FALSE
quinpirole	-0.594098360655738	0.07192	0.382696260162602	0.5	4	0.111111111111111	FALSE
deferoxamine	0.33327868852459	0.27	0.661826492537313	0.625	8	0.436241610738255	TRUE
calmidazolium	-0.492459016393443	0.53003	0.832210467065868	0.5	2	0.581967213114754	FALSE
fluphenazine	-0.26672131147541	0.12955	0.491439224137931	0.444444444444444	18	0.423728813559322	FALSE
dopamine	0.590163934426229	1e-05	0.00023375	1	1	0.748344370860927	FALSE
gefitinib	-0.802295081967213	1e-05	0.00023375	1	1	0.434210526315789	FALSE
"1,5-isoquinolinediol"	-0.608852459016393	1e-05	0.00023375	0	1	0.834285714285714	FALSE
"4,5-dianilinophthalimide"	-0.385245901639344	0.85474	0.954414346349745	0.5	2	0.941798941798942	FALSE
fisetin	0.85344262295082	1e-05	0.00023375	1	1	0.34453781512605	FALSE
butein	-0.611147540983607	0.30119	0.684475190972222	0	2	0.21830985915493	FALSE
HNMPA-(AM)3	-0.63016393442623	1e-05	0.00023375	0	1	0.619047619047619	FALSE
dimethyloxalylglycine	0.522950819672131	1e-05	0.00023375	0	1	0.918781725888325	FALSE
3-aminobenzamide	-0.6	1e-05	0.00023375	0	1	0.70625	FALSE
bucladesine	0.150109289617486	0.99544	0.997021666666667	0.5	6	1	FALSE
probucol	-0.288524590163934	0.60273	0.864155060240964	0.5	6	0.537037037037037	FALSE
geldanamycin	0.338306010928962	0.04957	0.311957355769231	0.666666666666667	15	0.524590163934426	TRUE
resveratrol	0.604335154826958	0.00097	0.0189511940298507	0.888888888888889	9	0.200980392156863	TRUE
5666823	0.887377049180328	1e-05	0.00023375	1	1	0.176829268292683	FALSE
nocodazole	-0.634098360655738	0.00736	0.0983085714285714	0.5	6	0.0403225806451613	FALSE
colchicine	-0.305846994535519	0.52827	0.832210467065868	0.5	6	0.633802816901408	FALSE
benserazide	-0.253770491803279	0.83203	0.947845311958405	0.4	5	0.848648648648649	FALSE
pentamidine	0.312622950819672	0.61264	0.867109902702703	0.6	5	0.595419847328244	TRUE
paclitaxel	-0.307540983606557	0.5211	0.832072839805825	0.5	6	0.553191489361702	FALSE
tioguanine	0.587213114754098	1e-05	0.00023375	1	1	0.767441860465116	FALSE
splitomicin	0.697868852459016	1e-05	0.00023375	1	1	0.65034965034965	FALSE
U0125	0.91	1e-05	0.00023375	1	1	0.162790697674419	FALSE
docosahexaenoic acid ethyl ester	-0.574262295081967	0.36186	0.725382450229709	0	2	0.347457627118644	FALSE
butirosin	0.353934426229508	0.59008	0.857967596899225	0.5	4	0.482517482517482	FALSE
colforsin	0.238196721311475	0.87812	0.959980642201835	0.6	5	0.874371859296482	TRUE
rottlerin	-0.413060109289618	0.55744	0.84440336416185	0.333333333333333	3	0.789915966386555	FALSE
prazosin	0.199617486338798	0.93348	0.97845132	0.333333333333333	6	0.883870967741936	FALSE
5252917	0.736393442622951	0.1387	0.508613955431755	1	2	0.224489795918367	TRUE
Y-27632	-0.716229508196721	0.16015	0.541531964285714	0	2	0.262295081967213	FALSE
5255229	-0.479180327868852	0.58161	0.854464074074074	0	2	0.439024390243902	FALSE
5211181	0.457213114754098	0.65812	0.892265680412371	0.5	2	0.593220338983051	FALSE
carbamazepine	0.25016393442623	0.61274	0.867109902702703	0.5	8	0.537414965986395	FALSE
blebbistatin	0.460819672131148	0.64605	0.891521028331584	0.5	2	0.8	FALSE
5248896	0.837213114754098	0.05246	0.322395023474178	1	2	0.075	TRUE
5224221	-0.463770491803279	0.6358	0.885385319148936	0.5	2	0.81203007518797	FALSE
5279552	0.744918032786885	0.13065	0.491439224137931	1	2	0.125	TRUE
5253409	-0.460655737704918	0.64703	0.891521028331584	0	2	0.47008547008547	FALSE
5230742	-0.502786885245902	0.49425	0.818953481012658	0.5	2	0.628415300546448	FALSE
oxaprozin	0.443715846994535	0.13506	0.503685299145299	0.666666666666667	6	0.159763313609467	TRUE
quinostatin	0.550327868852459	0.40442	0.756311111111111	0	2	0.668508287292818	FALSE
ikarugamycin	-0.742622950819672	0.0339	0.246528333333333	0.666666666666667	3	0.0833333333333333	TRUE
5182598	-0.968524590163934	0.0019	0.03108875	1	2	0.0314465408805031	TRUE
pyrvinium	-0.453606557377049	0.11912	0.471827874251497	0.333333333333333	6	0.412371134020619	FALSE
ionomycin	-0.556666666666667	0.21321	0.600788774193548	0.666666666666667	3	0.30327868852459	TRUE
depudecin	0.542786885245902	0.41832	0.763157938718663	0.5	2	0.35625	FALSE
5186223	-0.989016393442623	1e-05	0.00023375	1	1	0.0298507462686567	FALSE
celastrol	-0.509016393442623	1e-05	0.00023375	0	1	0.990990990990991	FALSE
5286656	-0.905573770491803	1e-05	0.00023375	1	1	0.140449438202247	FALSE
5149715	-0.93344262295082	1e-05	0.00023375	1	1	0.25503355704698	FALSE
5162773	0.881311475409836	1e-05	0.00023375	1	1	0.266272189349112	FALSE
pararosaniline	-0.910491803278689	1e-05	0.00023375	1	1	0.257575757575758	FALSE
5152487	0.53655737704918	1e-05	0.00023375	0	1	0.949044585987261	FALSE
5213008	-0.696065573770492	1e-05	0.00023375	0	1	0.657754010695187	FALSE
5186324	-0.920327868852459	1e-05	0.00023375	1	1	0.32258064516129	FALSE
5114445	0.81655737704918	1e-05	0.00023375	1	1	0.452380952380952	FALSE
5151277	-0.69672131147541	1e-05	0.00023375	0	1	0.591666666666667	FALSE
5109870	0.897049180327869	1e-05	0.00023375	1	1	0.334862385321101	FALSE
clotrimazole	-0.194754098360656	0.96897	0.993548425998434	0.4	5	0.992481203007519	FALSE
5140203	0.829344262295082	1e-05	0.00023375	1	1	0.333333333333333	FALSE
HC toxin	0.924590163934426	1e-05	0.00023375	1	1	0.269911504424779	FALSE
topiramate	-0.919016393442623	1e-05	0.00023375	1	1	0.299363057324841	FALSE
decitabine	-0.765409836065574	1e-05	0.00023375	0	1	0.56	FALSE
alvespimycin	0.424098360655738	0.01757	0.175565877862595	0.75	12	0.224137931034483	TRUE
vorinostat	0.525901639344262	0.00131	0.0234902739726027	0.75	12	0.407035175879397	TRUE
(-)-catechin	-0.694098360655738	1e-05	0.00023375	0	1	0.608974358974359	FALSE
demecolcine	-0.585409836065574	1e-05	0.00023375	0	1	0.886363636363636	FALSE
monensin	-0.58103825136612	0.01855	0.182571052631579	0.666666666666667	6	0.184	TRUE
"12,13-EODE"	0.731639344262295	1e-05	0.00023375	1	1	0.503067484662577	FALSE
3-hydroxy-DL-kynurenine	-0.430327868852459	0.15859	0.539206	0.5	6	0.128491620111732	FALSE
doxycycline	-0.328360655737705	0.5508	0.841303617269545	0.4	5	0.564971751412429	FALSE
tyrphostin AG-825	0.979508196721312	1e-05	0.00023375	1	1	0.201117318435754	FALSE
phenanthridinone	-0.720655737704918	1e-05	0.00023375	0	1	0.546875	FALSE
yohimbine	-0.334590163934426	0.52684	0.832210467065868	0.4	5	0.616216216216216	FALSE
DL-PPMP	-0.784590163934426	1e-05	0.00023375	1	1	0.590551181102362	FALSE
cytochalasin B	0.900819672131148	1e-05	0.00023375	1	1	0.203791469194313	FALSE
BW-B70C	-0.91672131147541	1e-05	0.00023375	1	1	0.284313725490196	FALSE
minocycline	0.450983606557377	0.19042	0.574304942528736	0.6	5	0.154838709677419	TRUE
phentolamine	-0.241803278688525	0.72363	0.92053612244898	0.428571428571429	7	0.618320610687023	FALSE
MG-132	-0.996065573770492	1e-05	0.00023375	1	1	0.0405405405405405	FALSE
tyrphostin AG-1478	-0.920491803278689	1e-05	0.00023375	1	1	0.184397163120567	FALSE
procainamide	0.297049180327869	0.77787	0.935015454545454	0.5	4	0.781512605042017	FALSE
thioguanosine	0.298524590163934	0.77369	0.934645285451197	0.5	4	0.911764705882353	FALSE
amoxicillin	0.594098360655738	0.07192	0.382696260162602	1	4	0.0833333333333333	TRUE
benfluorex	-0.425409836065574	0.35947	0.723307956989247	0.5	4	0.212765957446809	FALSE
naftidrofuryl	-0.397540983606557	0.44476	0.7806225	0.25	4	0.30718954248366	FALSE
pentoxyverine	0.377049180327869	0.51051	0.830922667493797	0.75	4	0.495652173913044	TRUE
clomifene	0.368524590163934	0.53973	0.836753076923077	0.5	4	0.620689655172414	FALSE
zoxazolamine	-0.280819672131148	0.82635	0.947381592300962	0.25	4	0.888888888888889	FALSE
N6-methyladenosine	0.357377049180328	0.57889	0.853341227477478	0.25	4	0.622754491017964	FALSE
chlorprothixene	-0.441803278688525	0.31391	0.6889675	0.5	4	0.224489795918367	FALSE
cefalexin	0.262786885245902	0.8018	0.942116062780269	0.6	5	0.886178861788618	TRUE
bepridil	0.458196721311475	0.27203	0.661872249070632	0.25	4	0.555555555555556	FALSE
bezafibrate	0.481311475409836	0.22107	0.609944707112971	0.75	4	0.2	TRUE
dequalinium chloride	0.395409836065574	0.45186	0.786548856382979	0.25	4	0.550724637681159	FALSE
oxantel	0.347540983606557	0.61146	0.867109902702703	0.5	4	0.56551724137931	FALSE
tacrine	-0.306229508196721	0.74919	0.924817128060264	0.5	4	0.529411764705882	FALSE
guanfacine	0.434918032786885	0.22423	0.612770501043841	0.6	5	0.213740458015267	TRUE
ritodrine	0.569344262295082	0.09548	0.431834586206897	0.75	4	0.0538922155688623	TRUE
dextromethorphan	0.324262295081967	0.69001	0.909432683417085	0.25	4	0.773913043478261	FALSE
buspirone	-0.284098360655738	0.8171	0.947381592300962	0.25	4	0.76219512195122	FALSE
ketoconazole	0.24655737704918	0.91503	0.972856875	0.25	4	0.940397350993378	FALSE
bisoprolol	0.374590163934426	0.51905	0.832072839805825	0.5	4	0.458015267175573	FALSE
flupentixol	0.332950819672131	0.66082	0.892265680412371	0.5	4	0.737967914438503	FALSE
droperidol	0.400327868852459	0.43576	0.780314418604651	0.75	4	0.303030303030303	TRUE
benzbromarone	0.361639344262295	0.70021	0.91523408142999	0.333333333333333	3	0.77124183006536	FALSE
clebopride	-0.46327868852459	0.26012	0.648790266666667	0.5	4	0.230263157894737	FALSE
fusidic acid	0.299180327868852	0.77162	0.934645285451197	0.5	4	0.738562091503268	FALSE
hesperidin	-0.308360655737705	0.74255	0.924817128060264	0.25	4	0.681818181818182	FALSE
testosterone	-0.483606557377049	0.13405	0.501347	0.2	5	0.155844155844156	FALSE
androsterone	-0.329836065573771	0.67077	0.901476314168378	0.25	4	0.557692307692308	FALSE
suloctidil	-0.337049180327869	0.64726	0.891521028331584	0.5	4	0.725274725274725	FALSE
coralyne	-0.562950819672131	0.10216	0.446451627906977	0.5	4	0.0805369127516778	FALSE
domperidone	-0.72672131147541	0.011	0.129838648648649	0.75	4	0	TRUE
ouabain	-0.971147540983607	0	0	1	4	0.0087719298245614	TRUE
arecoline	-0.851311475409836	0.00094	0.0186433333333333	1	4	0.0123456790123457	TRUE
anisomycin	-0.73983606557377	0.00899	0.112075333333333	0.75	4	0.0677966101694915	TRUE
carcinine	-0.347868852459016	0.6101	0.867109902702703	0.5	4	0.561497326203209	FALSE
corticosterone	0.455573770491803	0.27838	0.667661923076923	0.75	4	0.402061855670103	TRUE
fusaric acid	-0.308032786885246	0.74363	0.924817128060264	0.5	4	0.852459016393443	FALSE
lactobionic acid	0.324918032786885	0.68806	0.909432683417085	0.75	4	0.62962962962963	TRUE
cefixime	-0.452459016393443	0.28541	0.67728893115942	0.5	4	0.282296650717703	FALSE
calcium pantothenate	-0.368196721311475	0.5411	0.837233924349882	0.5	4	0.706806282722513	FALSE
levothyroxine sodium	0.290655737704918	0.79722	0.939298811881188	0.25	4	0.782312925170068	FALSE
carbarsone	0.590163934426229	0.07545	0.390371739130435	0.75	4	0.036144578313253	TRUE
carisoprodol	0.488524590163934	0.20678	0.594890153846154	0.75	4	0.139072847682119	TRUE
cyanocobalamin	0.630983606557377	0.04507	0.296465477386935	0.75	4	0.0236220472440945	TRUE
SR-95531	0.265737704918033	0.86699	0.956341946082561	0.5	4	0.865771812080537	FALSE
lumicolchicine	-0.50207650273224	0.32763	0.691722048387097	0.666666666666667	3	0.234285714285714	TRUE
metrizamide	0.612459016393443	0.05719	0.338740769230769	1	4	0.13013698630137	TRUE
cefotetan	0.551420765027322	0.22273	0.609944707112971	0.666666666666667	3	0.183006535947712	TRUE
dl-alpha tocopherol	-0.374754098360656	0.5184	0.832072839805825	0.5	4	0.33879781420765	FALSE
apigenin	0.373770491803279	0.52195	0.832072839805825	0.75	4	0.740157480314961	TRUE
7-aminocephalosporanic acid	0.51655737704918	0.1614	0.541531964285714	0.5	4	0.0860927152317881	FALSE
cefadroxil	0.291967213114754	0.7931	0.938668987341772	0.5	4	0.794642857142857	FALSE
ginkgolide A	0.60655737704918	0.0617	0.347780042735043	1	4	0.196428571428571	TRUE
lysergol	0.614262295081967	0.0559	0.335656422018349	1	4	0.0955414012738854	TRUE
N-acetylmuramic acid	-0.549508196721311	0.11779	0.471827874251497	0.5	4	0.089041095890411	FALSE
piperine	0.197213114754098	0.9897	0.997021666666667	0.5	4	0.979020979020979	FALSE
pepstatin	-0.218196721311475	0.97133	0.9940116484375	0.25	4	0.970238095238095	FALSE
N-acetyl-L-aspartic acid	0.352786885245902	0.59395	0.859042086092715	0.75	4	0.55625	TRUE
Chicago Sky Blue 6B	0.234426229508197	0.94418	0.980898111111111	0.5	4	0.981818181818182	FALSE
cyclobenzaprine	-0.335081967213115	0.65378	0.892265680412371	0.25	4	0.616666666666667	FALSE
mebhydrolin	-0.485409836065574	0.21281	0.600788774193548	0.5	4	0.252100840336134	FALSE
myricetin	-0.645245901639344	0.03686	0.253946	0.75	4	0.045045045045045	TRUE
brompheniramine	0.29655737704918	0.7793	0.93522241537054	0.5	4	0.752941176470588	FALSE
SR-95639A	-0.344918032786885	0.62059	0.871622650214592	0.5	4	0.591836734693878	FALSE
bacampicillin	-0.277540983606557	0.83539	0.947845311958405	0.25	4	0.838235294117647	FALSE
buflomedil	0.37	0.53505	0.836753076923077	0.75	4	0.492307692307692	TRUE
digitoxigenin	-0.484262295081967	0.21476	0.603263605150215	0.25	4	0.323529411764706	FALSE
carteolol	-0.349508196721312	0.60454	0.864855584699453	0.5	4	0.727810650887574	FALSE
meclocycline	-0.407540983606557	0.41341	0.763157938718663	0.5	4	0.310606060606061	FALSE
naringenin	-0.656229508196721	0.03152	0.2368916	0.75	4	0.121951219512195	TRUE
primaquine	-0.248032786885246	0.91106	0.969575235772358	0.25	4	0.954128440366973	FALSE
amantadine	-0.565901639344262	0.09898	0.438559222972973	0.75	4	0.235294117647059	TRUE
betulinic acid	-0.594262295081967	0.07173	0.382696260162602	0.75	4	0.193548387096774	TRUE
chlorogenic acid	-0.646229508196721	0.03637	0.25323579787234	0.75	4	0.0687022900763359	TRUE
naltrexone	-0.363934426229508	0.41832	0.763157938718663	0.4	5	0.51685393258427	FALSE
mefloquine	0.218360655737705	0.92563	0.977235844051447	0.4	5	0.985294117647059	FALSE
astemizole	-0.198524590163934	0.96277	0.990775102201258	0.4	5	0.98019801980198	FALSE
ivermectin	0.324754098360656	0.56437	0.848174890929966	0.6	5	0.849462365591398	TRUE
diazoxide	-0.354262295081967	0.45324	0.786858302387268	0.4	5	0.597560975609756	FALSE
disulfiram	-0.44016393442623	0.21201	0.600788774193548	0.4	5	0.345323741007194	FALSE
atropine oxide	0.33655737704918	0.51908	0.832072839805825	0.2	5	0.388157894736842	FALSE
chlorphenamine	-0.669344262295082	0.02615	0.217178742138365	0.25	4	0.0374331550802139	FALSE
isoconazole	0.333606557377049	0.5302	0.832210467065868	0.6	5	0.657894736842105	TRUE
clindamycin	-0.286065573770492	0.71728	0.916019043902439	0.4	5	0.770114942528736	FALSE
nicergoline	0.407213114754098	0.28813	0.678057316636852	0.6	5	0.348066298342541	TRUE
gallamine triethiodide	-0.364918032786885	0.41506	0.763157938718663	0.4	5	0.465608465608466	FALSE
aminophenazone	0.259344262295082	0.8133	0.945479307282416	0.4	5	0.802816901408451	FALSE
acetylsalicylsalicylic acid	0.436885245901639	0.32756	0.691722048387097	0.75	4	0.211382113821138	TRUE
nomifensine	0.44672131147541	0.19885	0.58101484375	0.6	5	0.214723926380368	TRUE
nalbuphine	-0.187868852459016	0.97873	0.994697717391304	0.6	5	0.96195652173913	TRUE
spironolactone	0.310655737704918	0.62021	0.871622650214592	0.6	5	0.685534591194969	TRUE
terfenadine	0.459672131147541	0.43261	0.775734917808219	0.333333333333333	3	0.783251231527094	FALSE
neomycin	0.407704918032787	0.28679	0.678057316636852	0.8	5	0.233870967741935	TRUE
mianserin	-0.318852459016393	0.58804	0.857671959910913	0.2	5	0.5	FALSE
dizocilpine	-0.448360655737705	0.19545	0.579328532731377	0.6	5	0.12751677852349	TRUE
picotamide	0.398360655737705	0.3116	0.6889675	0.8	5	0.308270676691729	TRUE
pirenzepine	0.422459016393443	0.25212	0.642072140077821	0.8	5	0.288590604026846	TRUE
cefotaxime	-0.422131147540984	0.25287	0.642731708737864	0.4	5	0.321212121212121	FALSE
thioproperazine	0.270819672131148	0.77353	0.934645285451197	0.2	5	0.809248554913295	FALSE
dihydrostreptomycin	-0.282786885245902	0.7296	0.9222591626564	0.4	5	0.608433734939759	FALSE
pindolol	-0.603934426229508	0.02792	0.221741445783133	0.6	5	0.0410958904109589	TRUE
acenocoumarol	0.278360655737705	0.74584	0.924817128060264	0.6	5	0.746753246753247	TRUE
triamcinolone	-0.497540983606557	0.11392	0.468934842767296	0.4	5	0.103448275862069	FALSE
tetracycline	-0.397377049180328	0.31474	0.6889675	0.4	5	0.522012578616352	FALSE
dihydroergotamine	0.190327868852459	0.97573	0.994697717391304	0.6	5	0.968421052631579	TRUE
isoniazid	-0.494590163934426	0.11782	0.471827874251497	0.6	5	0.3125	TRUE
tranexamic acid	-0.437049180327869	0.21943	0.608546334745763	0.2	5	0.597315436241611	FALSE
ampyrone	-0.375901639344262	0.37842	0.737130625	0.6	5	0.555555555555556	TRUE
midodrine	-0.560327868852459	0.05179	0.321294360189573	0.6	5	0.233082706766917	TRUE
ranitidine	-0.272950819672131	0.76562	0.934645285451197	0.4	5	0.810526315789474	FALSE
piroxicam	0.28344262295082	0.819	0.947381592300962	0.5	4	0.808510638297872	FALSE
norfloxacin	0.427213114754098	0.24107	0.632386032064128	0.6	5	0.140495867768595	TRUE
etodolac	0.238360655737705	0.87758	0.959980642201835	0.6	5	0.838235294117647	TRUE
pentetrazol	-0.39	0.46844	0.795030984455959	0.75	4	0.534653465346535	TRUE
etofylline	0.242786885245902	0.86506	0.956341946082561	0.6	5	0.80327868852459	TRUE
levamisole	0.530327868852459	0.14261	0.511442438356164	0.75	4	0.161016949152542	TRUE
tiratricol	-0.429508196721311	0.34827	0.711481197511664	0.5	4	0.380116959064327	FALSE
pyrantel	0.370655737704918	0.39578	0.751924557329463	0.8	5	0.283464566929134	TRUE
antimycin A	0.437049180327869	0.2193	0.608546334745763	0.8	5	0.432584269662921	TRUE
scopolamine N-oxide	-0.314098360655738	0.60671	0.867012434497817	0.2	5	0.777251184834123	FALSE
chlorzoxazone	0.57655737704918	0.08804	0.417552028985507	1	4	0.160714285714286	TRUE
tranylcypromine	0.466229508196721	0.16137	0.541531964285714	0.8	5	0.196428571428571	TRUE
pargyline	-0.303606557377049	0.7579	0.92892425093633	0.5	4	0.891891891891892	FALSE
oxolinic acid	0.355081967213115	0.45019	0.785155978695073	0.4	5	0.416	FALSE
fenspiride	-0.367704918032787	0.4056	0.756311111111111	0.4	5	0.595121951219512	FALSE
xylometazoline	0.388360655737705	0.47326	0.798894845360825	0.25	4	0.473282442748092	FALSE
hyoscyamine	0.256229508196721	0.82393	0.947381592300962	0.4	5	0.80952380952381	FALSE
ornidazole	-0.289672131147541	0.70317	0.91523408142999	0.4	5	0.837696335078534	FALSE
alverine	0.520655737704918	0.15574	0.536483315789474	0.75	4	0.125	TRUE
nimesulide	-0.583770491803279	0.08122	0.405491368821293	0.75	4	0.0580645161290323	TRUE
flumequine	-0.389180327868852	0.47085	0.796308333333333	0.5	4	0.497076023391813	FALSE
